,Timestamp,PSM_xyz,PSM_roll_pitchGripper_angle_radians,Puzzle_position_xyz,Gripper_angle_radians,PSM_roll_pitch,Input_L
35,1652781651.8794594,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98ea40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '77.25439453125', 'y': '48.311767578125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
36,1652781651.9002442,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98eac0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '78.67530822753906', 'y': '55.06451416015625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
37,1652781651.922234,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98ed40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '85.06938171386719', 'y': '77.81060791015625', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
38,1652781651.9424677,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98ec40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '90.39778900146484', 'y': '104.46615600585938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
39,1652781651.9625971,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98eec0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '92.17391967773438', 'y': '131.47714233398438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
40,1652781651.983649,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98eb40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '92.88436889648438', 'y': '149.95834350585938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
41,1652781652.0038292,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98ef40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '92.88436889648438', 'y': '159.19891357421875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
42,1652781652.022294,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98ecc0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '92.52914428710938', 'y': '167.72869873046875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
43,1652781652.0432937,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98edc0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '91.46345520019531', 'y': '180.87875366210938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
44,1652781652.064936,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e6c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '91.46345520019531', 'y': '189.76394653320312', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
